2025-12-04 09:57:58,812 INFO    MainThread:3625596 [wandb_setup.py:_flush():81] Current SDK version is 0.22.0
2025-12-04 09:57:58,813 INFO    MainThread:3625596 [wandb_setup.py:_flush():81] Configure stats pid to 3625596
2025-12-04 09:57:58,813 INFO    MainThread:3625596 [wandb_setup.py:_flush():81] Loading settings from /home/iml/marta.hasny/.config/wandb/settings
2025-12-04 09:57:58,813 INFO    MainThread:3625596 [wandb_setup.py:_flush():81] Loading settings from /ictstr01/home/iml/marta.hasny/tables_guide_vision/wandb/settings
2025-12-04 09:57:58,813 INFO    MainThread:3625596 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-12-04 09:57:58,813 INFO    MainThread:3625596 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /ictstr01/home/iml/marta.hasny/tables_guide_vision/wandb/run-20251204_095758-754nui4e/logs/debug.log
2025-12-04 09:57:58,813 INFO    MainThread:3625596 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /ictstr01/home/iml/marta.hasny/tables_guide_vision/wandb/run-20251204_095758-754nui4e/logs/debug-internal.log
2025-12-04 09:57:58,813 INFO    MainThread:3625596 [wandb_init.py:init():813] calling init triggers
2025-12-04 09:57:58,813 INFO    MainThread:3625596 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-12-04 09:57:58,813 INFO    MainThread:3625596 [wandb_init.py:init():861] starting backend
2025-12-04 09:58:06,130 INFO    MainThread:3625596 [wandb_init.py:init():864] sending inform_init request
2025-12-04 09:58:06,227 INFO    MainThread:3625596 [wandb_init.py:init():872] backend started and connected
2025-12-04 09:58:06,229 INFO    MainThread:3625596 [wandb_init.py:init():942] updated telemetry
2025-12-04 09:58:06,372 INFO    MainThread:3625596 [wandb_init.py:init():966] communicating run to backend with 90.0 second timeout
2025-12-04 09:58:07,963 INFO    MainThread:3625596 [wandb_init.py:init():1017] starting run threads in backend
2025-12-04 09:58:14,750 INFO    MainThread:3625596 [wandb_run.py:_console_start():2506] atexit reg
2025-12-04 09:58:14,750 INFO    MainThread:3625596 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-12-04 09:58:14,751 INFO    MainThread:3625596 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-12-04 09:58:14,751 INFO    MainThread:3625596 [wandb_run.py:_redirect():2446] Redirects installed.
2025-12-04 09:58:14,857 INFO    MainThread:3625596 [wandb_init.py:init():1057] run started, returning control to user process
2025-12-04 09:58:22,700 INFO    wandb-AsyncioManager-main:3625596 [service_client.py:_forward_responses():84] Reached EOF.
2025-12-04 09:58:22,700 INFO    wandb-AsyncioManager-main:3625596 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
